2026-06-15 21:30:09 | ERROR    | Dummy-3         | [DetectionManager] Loi nap model YOLO: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.
2026-06-15 21:30:09 | INFO     | Dummy-3         | [DetectionManager] Detection thread da khoi dong.
2026-06-15 21:30:10 | ERROR    | Dummy-4         | [OCRManager] Khong the khoi tao EasyOCR: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.. OCR se tra ve UNKNOWN.
2026-06-15 21:30:10 | INFO     | Dummy-4         | [OCRManager] OCR thread da khoi dong.
2026-06-15 21:34:00 | INFO     | MainThread      | [LoggerManager] He thong logging da duoc khoi tao.
2026-06-15 21:34:00 | INFO     | MainThread      | [ConfigManager] Da nap toan bo cau hinh he thong.
2026-06-15 21:34:00 | INFO     | MainThread      | [ConfigManager] Da nap toan bo cau hinh he thong.
2026-06-15 21:34:01 | INFO     | MainThread      | [MainWindow] He thong khoi dong thanh cong.
2026-06-15 21:34:02 | INFO     | Dummy-1         | [DatabaseManager] Database thread da khoi dong.
2026-06-15 21:34:02 | INFO     | Dummy-2         | [EmailManager] Email thread da khoi dong.
2026-06-15 21:34:08 | ERROR    | Dummy-3         | [DetectionManager] Loi nap model YOLO: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.
2026-06-15 21:34:08 | INFO     | Dummy-3         | [DetectionManager] Detection thread da khoi dong.
2026-06-15 21:34:10 | ERROR    | Dummy-4         | [OCRManager] Khong the khoi tao EasyOCR: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.. OCR se tra ve UNKNOWN.
2026-06-15 21:34:10 | INFO     | Dummy-4         | [OCRManager] OCR thread da khoi dong.
2026-06-15 21:43:35 | INFO     | MainThread      | [LoggerManager] He thong logging da duoc khoi tao.
2026-06-15 21:43:35 | INFO     | MainThread      | [ConfigManager] Da nap toan bo cau hinh he thong.
2026-06-15 21:43:35 | INFO     | MainThread      | [ConfigManager] Da nap toan bo cau hinh he thong.
2026-06-15 21:43:36 | INFO     | MainThread      | [MainWindow] He thong khoi dong thanh cong.
2026-06-15 21:43:38 | INFO     | Dummy-1         | [EmailManager] Email thread da khoi dong.
2026-06-15 21:43:38 | INFO     | Dummy-2         | [DatabaseManager] Database thread da khoi dong.
2026-06-15 21:43:43 | ERROR    | Dummy-3         | [DetectionManager] Loi nap model YOLO: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.
2026-06-15 21:43:43 | INFO     | Dummy-3         | [DetectionManager] Detection thread da khoi dong.
2026-06-15 21:43:44 | ERROR    | Dummy-4         | [OCRManager] Khong the khoi tao EasyOCR: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.. OCR se tra ve UNKNOWN.
2026-06-15 21:43:44 | INFO     | Dummy-4         | [OCRManager] OCR thread da khoi dong.
2026-06-15 21:50:54 | INFO     | MainThread      | [LoggerManager] He thong logging da duoc khoi tao.
2026-06-15 21:50:54 | INFO     | MainThread      | [ConfigManager] Da nap toan bo cau hinh he thong.
2026-06-15 21:50:54 | INFO     | MainThread      | [ConfigManager] Da nap toan bo cau hinh he thong.
2026-06-15 21:50:54 | INFO     | MainThread      | [MainWindow] He thong khoi dong thanh cong.
2026-06-15 21:50:56 | INFO     | Dummy-1         | [DatabaseManager] Database thread da khoi dong.
2026-06-15 21:50:56 | INFO     | Dummy-2         | [EmailManager] Email thread da khoi dong.
2026-06-15 21:51:00 | ERROR    | Dummy-3         | [DetectionManager] Loi nap model YOLO: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.
2026-06-15 21:51:00 | INFO     | Dummy-3         | [DetectionManager] Detection thread da khoi dong.
2026-06-15 21:51:02 | ERROR    | Dummy-4         | [OCRManager] Khong the khoi tao EasyOCR: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.. OCR se tra ve UNKNOWN.
2026-06-15 21:51:02 | INFO     | Dummy-4         | [OCRManager] OCR thread da khoi dong.
2026-06-15 21:52:17 | INFO     | MainThread      | [LoggerManager] He thong logging da duoc khoi tao.
2026-06-15 21:52:17 | INFO     | MainThread      | [ConfigManager] Da nap toan bo cau hinh he thong.
2026-06-15 21:52:17 | INFO     | MainThread      | [ConfigManager] Da nap toan bo cau hinh he thong.
2026-06-15 21:52:18 | INFO     | MainThread      | [MainWindow] He thong khoi dong thanh cong.
2026-06-15 21:52:20 | INFO     | Dummy-1         | [EmailManager] Email thread da khoi dong.
2026-06-15 21:52:20 | INFO     | Dummy-2         | [DatabaseManager] Database thread da khoi dong.
2026-06-15 21:52:24 | ERROR    | Dummy-3         | [DetectionManager] Loi nap model YOLO: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.
2026-06-15 21:52:24 | INFO     | Dummy-3         | [DetectionManager] Detection thread da khoi dong.
