2026-06-17 14:50:47 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#51 (person) frame#433
2026-06-17 14:50:47 | INFO     | MainThread      | [ViolationManager] [De vach dung] Track#49 (car) frame#435
2026-06-17 14:50:47 | INFO     | MainThread      | [ViolationManager] [De vach dung] Track#51 (person) frame#437
2026-06-17 14:52:12 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#13 (person) frame#1
2026-06-17 14:52:12 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#14 (motorcycle) frame#1
2026-06-17 14:52:12 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#15 (motorcycle) frame#1
2026-06-17 14:52:12 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#14 (motorcycle) frame#6
2026-06-17 14:52:13 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#15 (motorcycle) frame#34
2026-06-17 14:52:13 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#13 (person) frame#38
2026-06-17 14:52:13 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#17 (car) frame#47
2026-06-17 14:52:13 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#17 (car) frame#48
2026-06-17 14:52:16 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#19 (car) frame#129
2026-06-17 14:52:17 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#21 (car) frame#162
2026-06-17 14:52:20 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#23 (motorcycle) frame#244
2026-06-17 14:52:20 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#25 (person) frame#258
2026-06-17 14:52:21 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#26 (person) frame#269
2026-06-17 14:52:21 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#26 (person) frame#272
2026-06-17 14:52:21 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#28 (person) frame#281
2026-06-17 14:52:22 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#13 (person) frame#303
2026-06-17 14:52:24 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#33 (motorcycle) frame#370
2026-06-17 14:52:27 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#13 (motorcycle) frame#468
2026-06-17 14:52:28 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#34 (person) frame#498
2026-06-17 14:52:29 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#34 (person) frame#511
2026-06-17 14:52:29 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#35 (motorcycle) frame#513
2026-06-17 14:52:30 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#35 (motorcycle) frame#538
2026-06-17 14:52:31 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#36 (person) frame#576
2026-06-17 14:52:31 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#37 (person) frame#589
2026-06-17 14:52:31 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#37 (person) frame#595
2026-06-17 14:52:32 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#13 (motorcycle) frame#603
2026-06-17 15:36:01 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#24 (person) frame#1
2026-06-17 15:36:01 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#25 (motorcycle) frame#1
2026-06-17 15:36:01 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#23 (car) frame#1
2026-06-17 15:36:02 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#22 (car) frame#3
2026-06-17 15:36:02 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#23 (car) frame#3
2026-06-17 15:36:02 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#24 (person) frame#12
2026-06-17 15:36:02 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#26 (car) frame#27
2026-06-17 15:36:03 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#22 (car) frame#27
2026-06-17 15:36:03 | INFO     | MainThread      | [ViolationManager] [Quay dau sai noi quy dinh] Track#26 (car) frame#33
